Recipe,Spirits1,Spirits1c,Spirits1am,S1al,Spirits2,Spirits2c,Spirits2am,S2al,Spirits3,Spirits3c,Spirits3am,S3al,Lime Juice,Lime Juicec,Lime Juiceam,Juice1,Juice1c,Juice1am,J1sw,Juice2,Juice2c,Juice2am,J2sw,Syrup1,Syrup1c,Syrup1am,S1sw,Syrup2,Syrup2c,Syrup2am,S2sw,Bitter1,Bitter1c,Bitter1am,Bitter2,Bitter2c,Bitter2am,Other1,Other1c,O1sw,Other1am,Other2,Other2c,Other2am,O2sw,Other3,Other3c,Other3am,Liqueur 1,Liqueur 1c,Liqueur 1am,L1sw,L1al,Liqueur 2,Liqueur 2c,Liqueur 2am,L2sw,L2al,Liqueur 3,Liqueur 3c,Liqueur 3am,L3sw,L3al,Ice,Operation,OPindex,Decoration,Amount,Sour,Alcohol,Bitter,Glass,Flavor1,Flavor2,Flavor3,Flavor4,Flavor5
Whiskey Sour,Bourbon Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,f7ffd1,30,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll/Maraschino cherry,105,-0.2,0.128571429,0,Martini-Glass,n,n,n,n,n
Margarita,Tequila,edffef,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,30,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,Salt,,0,0,,,0,0,,,0,Cointreau,ffffe6,20,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Slice,125,-0.136,0.128,0,Martini-Glass,Orange,n,n,n,n
Ward 8,Bourbon Whiskey,54241f,45,0.45,,,0,0,,,0,0,Lime Juice,f7ffd1,15,Orange,ed9d6c,15,0.58,,,0,0,Grenadine Syrup,f54842,4.93,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Orange Roll,79.93,-0.037494057,0.126673339,0,Martini-Glass,Orange,n,n,n,n
Frozen Daiquiri,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Simple Syrup,ffffe6,22,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Squeeze,0.5,Lemon Slice,97,-0.018556701,0.12371134,0,Martini-Glass,n,n,n,n,n
Red Lion,Gin,ffffe6,30,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,10,Orange,ed9d6c,30,0.58,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Grand Marnier,ffffe6,20,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,90,0.126666667,0.122777778,0,Martini-Glass,Orange,n,n,n,n
New York,Bourbon Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,f7ffd1,30,,,0,0,,,0,0,Grenadine Syrup,f54842,10,0.67,Simple Syrup,ffffff,10,0.6,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll/Maraschino cherry,110,-0.157272727,0.122727273,0,Martini-Glass,n,n,n,n,n
Cape Cod,Vodka,ffffff,40,0.4,,,0,0,,,0,0,Lime Juice,,0,Cranberry,9763b0,60,0.63,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Slice,100,0.378,0.12,0,Collins-Glass,Cranberry,n,n,n,n
Sex on the Beach,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,,0,Pineapple,fcf67c,45,0.6,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Midori Melon,fcf67c,15,0.28,0.21,Smirnoff Whipped Cream Vodka,fcf67c,15,0,0.35,,,0,0,0,Regular,Shake,0.5,Orange Slice/Maraschino cherry,135,0.231111111,0.12,0,Hurricane-Glass,Pineapple,Melon,Cream,n,n
Frozen Margarita,Tequila,edffef,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,30,,,0,0,,,0,0,Simple Syrup,ffffe6,20,0.6,,,0,0,,,0,,,0,Salt,,0,0,,,0,0,,,0,Cointreau,ffffe6,15,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Squeeze,0.5,Lemon Slice,125,-0.12,0.12,0,Hurricane-Glass,Orange,Salt,n,n,n
Mocking Bird,Tequila,edffef,40,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Simple Syrup,ffffe6,10,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Mint Green Liqueur,edfd9,10,0.195,0.17,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,75,-0.094,0.118,0,Martini-Glass,Mint,n,n,n,n
Blood and Sand,Scotch Whiskey,54241f,25,0.45,,,0,0,,,0,0,Lime Juice,,0,Orange,ed9d6c,25,0.58,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Sweet Vermouth,c73a4a,25,0.15,0.15,Luxardo Maraschino,420808,25,0.3,0.32,,,0,0,0,Regular,Shake,0.5,Orange Roll,100,0.2575,0.115,0,Martini-Glass,Orange,Herb,Cherry,n,n
Papa Doble,Rum,ffffff,90,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,30,Grapefruit,f7cde0,45,0.65,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Luxardo Maraschino,420808,15,0.3,0.32,,,0,0,0,,,0,0,0,Regular,Squeeze,0.5,Lemon Slice,180,0.020833333,0.113333333,0,Martini-Glass,Grapefruit,Cherry,n,n,n
Jack Rose,Apple Brandy,54241f,50,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Grenadine Syrup,f54842,20,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,90,-0.073333333,0.111111111,0,Martini-Glass,Apple,n,n,n,n
Moscow Mule,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Ginger Soda,54241f,0.11,90,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Crashed,Stir,0.75,Lemon Slice,165,-0.030909091,0.109090909,0,Rocks-Glass,Ginger,Bubbling,n,n,n
Cosmopolitan,Vodka,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,Cranberry,9763b0,25,0.63,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,4.93,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Orange Roll/ Cranberry,119.93,0.089518886,0.10827983,0,Martini-Glass,Cranberry,Orange,n,n,n
Alexander,Gin,ffffe6,30,0.47,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Cream,ffffff,0.05,30,,,0,0,,,0,Mozart White Chocolate Cream Liqueur,fcf67c,30,0.34,0.17,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Nutmeg Powder,90,0.13,0.106666667,0,Martini-Glass,Cream,Chocolate,n,n,n
Mary Pickford,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,,0,Pineapple,fcf67c,45,0.6,,,0,0,Grenadine Syrup,f54842,10,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Luxardo Maraschino,420808,4.93,0.3,0.32,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Maraschino cherry,119.93,0.293329442,0.106635537,0,Martini-Glass,Pineapple,Cherry,n,n,n
Clover Club,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Grenadine Syrup,f54842,20,0.67,,,0,0,,,0,,,0,,,0,0,Eggwhite,ffffff,15,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,100,-0.066,0.10575,0,Martini-Glass,Cream,n,n,n,n
Milk Punch,Bourbon Whiskey,54241f,60,0.45,Rum,f5f5f5,2.5,0.4,,,0,0,Lime Juice,,0,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,Milk,ffffff,0.05,60,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Nutmeg Powder,137.5,0.087272727,0.101818182,0,Collins-Glass,Cream,n,n,n,n
Fog Cutter,Rum,ffffff,60,0.4,Brandy,54241f,30,0.4,Gin,dedede,15,0.47,Lime Juice,f7ffd1,60,Orange,ed9d6c,30,0.58,,,0,0,Orgeat syrup,fcf67c,15,0.65,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Sherry,c73a4a,15,0.07,0.15,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,225,-0.141333333,0.100666667,0,Collins-Glass,Orange,n,n,n,n
Brandy Alexander,Brandy,54241f,30,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Cream,ffffff,0.05,30,,,0,0,,,0,Mozart Chocolate Cream Liqueur,54241f,30,0.34,0.17,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Nutmeg Powder,90,0.13,0.095,0,Martini-Glass,Chocolate,Cream,n,n,n
Hemingway Daiquiri,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,30,Grapefruit,f7cde0,20,0.65,,,0,0,Simple Syrup,ffffe6,30,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Luxardo Maraschino,420808,10,0.3,0.32,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Grapefruit Roll,150,0.026666667,0.090666667,0,Martini-Glass,Grapefruit,Cherry,n,n,n
Bacardi Cocktail,Rum,ffffff,45,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,25,,,0,0,,,0,0,Simple Syrup,ffffe6,20,0.6,Grenadine Syrup,f54842,9.86,0.67,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,99.86,-0.064027639,0.090126177,0,Hurricane-Glass,n,n,n,n,n
Cuba Libre,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,Coca-Cola,54241f,0.59,120,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Wedge,200,0.254,0.09,0,Collins-Glass,Bubbling,n,n,n,n
